Company,Phone,Street,City,State,Zip
 Mama's Indian Kitchen,(310) 841-6559,10032 Venice Blvd,Culver City,CA,
 Mother's Market & Kitchen,(310) 844-6232,1700 Rosecrans Avenue,Manhattan Beach,CA,
 Mother's Kitchen,(310) 844-6363,1700 Rosecrans Avenue,Manhattan Beach,CA,
 Unclogging Kitchen Sink,(310) 846-0170,10022 S Inglewood Ave,Inglewood,CA,
 CHI Kitchen & Bath,(310) 847-7655,22029 Bonita St,Carson,CA,
 Weiss Kitchens,(310) 854-4924,8642 W Pico Blvd,Los Angeles,CA,
 Kitchen Design Studio,(310) 854-6322,400 N Robertson Blvd,Los Angeles,CA,
 Christopher Peacock Cabinetry,(310) 854-7222,400 N Robertson Blvd,Los Angeles,CA,
 Sharky's Beverly Hills Digital Kitchen @ Beverly Bites,(310) 858-0202,8600 West Pico Boulevard Suite 117,Beverly Hills,CA,
 Kitchen Studio L A,(310) 858-1008,359 N Robertson Blvd,Los Angeles,CA,
 DIOR (Permanently Closed),(310) 859-4700,309 North Rodeo Drive,Beverly Hills,CA,
 Reserve Kitchen & Bar - Playa Vista,(310) 862-5668,12746 W. Jefferson Blvd.,Playa Vista,CA,
 KRLA - Kitchen Remodeling Los Angeles,(310) 870-3304,2424 Wilshire Blvd,Los Angeles,CA,
 CLD electric,(310) 871-4970,Los Angeles,,CA,91406
 Kitchen Remodel And Design Culver City,(310) 895-2192,4022 Lincoln Ave,Culver City,CA,
 Modern Bathroom Remodel And Renovation Culver City,(310) 895-2241,4039 Lincoln Ave,Culver City,CA,
 Amped Kitchens L A  North,(310) 896-3085,230 West Avenue 26,Los Angeles,CA,
 Aviva Construction Corporation,(310) 897-5662,11705 South Inglewood Avenue,Hawthorne,CA,
 Alkon Inc,(310) 897-6835,6060 Apt Buckingham Pkwy,Culver City,CA,
 Joy Kitchen & Gift,(310) 898-1360,3100 E Imperial Hwy,Lynwood,CA,
 Built Well,(310) 903-2028,4411 Los Feliz Blvd,Los Angeles,CA,
 LA Move Consultants,(310) 904-9720,2006 North Sepulveda Boulevard #505,Manhattan Beach,CA,
 Mr  Handyman serving West Los Angeles,(310) 905-8143,Los Angeles,,CA,90025
 Andrea Michaelson Design,(310) 908-2800,Venice,,FL,90291
 OrganizeMeWell,(310) 913-9213,West Hollywood,,CA,90046
 Lux General Contractor,(310) 927-1130,11400 w olympic blvd suite 200,Los Angeles,CA,
 Nu Kitchen Design,(310) 933-5316,2223 Torrance Blvd,Torrance,CA,
 Not Your Mamas Kitchen,(310) 933-8896,1701 E Compton Blvd,Compton,CA,
 LA Home Construction,(310) 935-8385,8610 Chalmers Dr. Unit 203,Los Angeles,CA,
 JUTE Coastal Bar and Kitchen,(310) 939-1447,1400 Parkview Avenue,Manhattan Beach,CA,
 Greg Horeczko Construction,(310) 940-0812,Redondo Beach,,CA,90277
 Southern Construction & Development Inc,(310) 941-3288,2016 E 119th St,Los Angeles,CA,
 Crisfield construction Inc,(310) 944-0863,Gardena,,CA,90249
 Alta California Construction,(310) 953-8805,350 Crenshaw Blvd,Torrance,CA,
 Yanagi Kitchen - Manhattan Beach,(310) 955-2000,3001 North Sepulveda Blvd. # C,Manhattan Beach,CA,
 Shofani Construction Group Inc,(310) 956-5708,13528 S Inglewood Ave,Hawthorne,CA,
 At Home Kitchen,(310) 965-0804,16814 S Vermont Ave,Gardena,CA,
 Classic Interiors,(310) 970-9756,13740 Prairie Ave,Hawthorne,CA,
 Kitchen Remodel Los Angeles,(310) 971-4500,1019 S Westmoreland Ave,Los Angeles,CA,
 Sky Water Fire Protection Inc,(310) 975-7588,3209 Alameda Street suite c,Compton,CA,
 Lucky Bamboo Kitchen,(310) 978-8958,14323 Hawthorne Blvd,Lawndale,CA,
" 1st Tech Restoration, Inc",(310) 984-9217,Torrance,,CA,90501
 John Elwart,(310) 985-3657,Playa Del Rey,,CA,90293
 Matthew Kitchen Upgrade,(310) 987-4094,623 S Long Beach Blvd,Compton,CA,
 Poseidon International Inc,(310) 990-9740,2060 E 37th St,Los Angeles,CA,
 Cayetano's Handyman's Services,(323) 204-7083,Los Angeles,,CA,90019
 Express Electric and Construction,(323) 205-3700,3124 Sunset Blvd.,Los Angeles,CA,
 MDM Custom Remodeling Inc,(323) 210-3350,8866 Alcott St,Los Angeles,CA,
 Thai Kitchen,(323) 221-2873,2000 Ste Marengo St,Los Angeles,CA,
 Hong KONG Kitchen,(323) 222-2369,5088 Valley Blvd,Los Angeles,CA,
 Red Hot Kitchen,(323) 222-8900,4625 Valley Blvd,Los Angeles,CA,
 Fernando's Lumber,(323) 224-9112,2810 N Figueroa St,Los Angeles,CA,
 Ever Handyman,(323) 228-9961,Bell,,CA,90201
 Granny's Kitchen,(323) 231-2141,5440 S Central Ave,Los Angeles,CA,
 Proportion Foods LLC,(323) 231-7777,4020 Compton Ave,Los Angeles,CA,
 Ocean Pacific Cabinets,(323) 233-0439,1257 E 33rd St,Los Angeles,CA,
 Bueno Bonito Barato,(323) 233-8999,4501 S Alameda St,Los Angeles,CA,
 Innor Renovations,(323) 238-0696,3015 West Jefferson Boulevard,Los Angeles,CA,
 Iveth's Cleaning Services,(323) 239-7732,Los Angeles,,CA,90003
 Paints & Taping,(323) 240-9519,3170 La Clede Ave Apt 2,Los Angeles,CA,
 Dona Ana's Kitchen,(323) 242-2231,11313 Avalon Blvd,Los Angeles,CA,
 Eternal Stone Inc,(323) 249-9064,2929 Century Blvd,South Gate,CA,
 Auntie Em's Kitchen,(323) 255-0800,4616 Eagle Rock Blvd,Los Angeles,CA,
" Art Home Interiors, Inc",(323) 263-9755,3508 1st Street,Los Angeles,CA,
 Carnaval Sales,(323) 264-3554,542 S Woods Ave,Los Angeles,CA,
" Certified Enameling, Inc",(323) 264-4403,3342 Emery St,Los Angeles,CA,
 Tila's Kitchen,(323) 264-5513,3909 Whittier Blvd,Los Angeles,CA,
 Olympic Ceramic Tile Bath & Kitchen,(323) 265-2323,4351 Telegraph Rd,Los Angeles,CA,
 Reba's Kitchens LLC,(323) 267-4339,1539 Fishburn Ave,Los Angeles,CA,
 Family Maid,(323) 268-1035,4425 Bandini Blvd,Los Angeles,CA,
 Un Solo Sol Kitchen,(323) 269-8680,1818 E 1st St,Los Angeles,CA,
 Xtreme Kitchen Cabinets Inc,(323) 270-1601,6118 Cherry Avenue,Long Beach,CA,
 Canis Major,(323) 272-3758,7613 Melrose Ave,Los Angeles,CA,
 Flores Cabinet Shop,(323) 277-9424,5534 Bandera St,Los Angeles,CA,
 Marco New Kitchen,(323) 278-1133,412 W Whittier Blvd,Montebello,CA,
 Jack's Family Kitchen,(323) 296-5215,3965 S Western Ave,Los Angeles,CA,
 Super Plumbing 911,(323) 303-9602,Bell,,CA,90201
 Super Plumbers 911,(323) 303-9602,6808 Vinevale Avenue,Bell,CA,
 Darnell General Construction,(323) 305-1127,Los Angeles,,CA,90062
 ABS Kitchen,(323) 306-0800,5100 S Vermont Ave,Los Angeles,CA,
 Get Busy Clean-Up Services,(323) 309-0784,825 West Raymond St Unit #44,Thompson,CA,
 Kitchen Services,(323) 310-2010,362 1/2 Via Vis,Montebello,CA,
 Nelson Handyman,(323) 312-4831,Los Angeles,,CA,90037
 Mediterranean Kitchen,(323) 318-2827,2480 S Atlantic Blvd,Los Angeles,CA,
 Nino's Handyman,(323) 320-2621,Los Angeles,,CA,90042
 Os Remodeling Inc,(323) 320-3080,Los-Angeles,,CA,90042
 Lowe's Home Improvement,(323) 327-4000,2800 W 120th Street,Hawthorne,CA,
 Aguirre's Construction,(323) 336-7411,Lynwood,,CA,90262
 The Kitchen Beautician Inc,(323) 340-1900,130 N Ste Avenue 61,Los Angeles,CA,
 Grittel,(323) 350-0680,619 North La Brea Avenue,Los Angeles,CA,
 Danny's Kitchen Cabinets,(323) 357-1139,2523 E 115th Pl,Los Angeles,CA,
 Lotte Kitchen World Inc,(323) 373-0246,982 S Western Ave,Los Angeles,CA,
 Pace Green Construction Inc,(323) 377-5894,Los Angeles,,CA,90019
 LA Kitchen Hoods,(323) 387-4334,Los Angeles,,CA,90059
 Jorge Jauregui Plumbing,(323) 397-0811,Los Angeles,,CA,90016
 Ramos Remodeling Services,(323) 403-1833,Los Angeles,,CA,90004
 SAR CONSTRUCTION TEAM CORP,(323) 404-1245,534 N Lincoln Ave,Monterey Park,CA,
 A&A Home Improvements,(323) 404-3031,Los Angeles,,CA,90061
 RDM Construction,(323) 407-4926,1004 1/2 N Hicks Ave,Los Angeles,CA,
 Family Style Kitchen,(323) 407-6811,5173 W Sunset Blvd,Los Angeles,CA,
 Marco's Kitchen,(323) 412-3165,6732 Crenshaw Boulevard,Los Angeles,CA,
 Gutiérrez Construcción,(323) 420-3020,Los Angeles,,CA,90003
 Ramirez Remodeling,(323) 423-5939,8850 S Avalon Blvd,Los Angeles,CA,
 Melana Inc,(323) 424-8301,Los Angeles,,CA,90011
 Lyfe Kitchen,(323) 436-6227,7100 Santa Monica Blvd,Los Angeles,CA,
 Berries Kitchen Hollywood,(323) 436-6282,6900 S Vermont Ave,Los Angeles,CA,
 A&G Construction Services,(323) 439-6156,Paramount,,CA,90723
 California Pizza Kitchen at Hollywood,(323) 460-2080,6801 Hollywood Boulevard,Hollywood,CA,
 Kitchen Academy,(323) 460-4022,6370 W Sunset Blvd,Los Angeles,CA,
 Midtown Bar and Kitchen,(323) 460-4090,5722 Melrose Ave,Los Angeles,CA,
 ShopHouse Southeast Asian Kitchen,(323) 462-2856,6333 West Sunset Blvd.,Los Angeles,CA,
 Tailwaggers & Tailwashers Hollywood,(323) 464-9600,1929 N Bronson Ave,Los Angeles,CA,
 Tailwaggers & Tailwashers Larchmont Village,(323) 464-9600,147 N Larchmont Blvd,Los Angeles,CA,
 Kitchen 24,(323) 465-2424,1610 N Cahuenga Blvd,Los Angeles,CA,
 Tiago Express Bar Kitchen,(323) 466-5600,7080 Hollywood Blvd,Los Angeles,CA,
 Farmer's Kitchen,(323) 467-7600,1555 Ste Vine St,Los Angeles,CA,
 Chavez Plumbing & Rooter Inc,(323) 471-1753,15921 Minnesota Avenue,Paramount,CA,
 Design Build Maintain DBM,(323) 472-5769,523 North Windsor Boulevard,Los Angeles,CA,
 Royal Prestige,(323) 484-9804,3642 E Florence Ave,Huntington Park,CA,
 Green's Construction & Home Repair,(323) 488-5526,Los Angeles,,CA,90043
 Valencia's Plumbing,(323) 489-9276,Los Angeles,,CA,90002
 Shik Builders,(323) 494-2323,Los Angeles,,CA,91364
 QuickFix Electric,(323) 496-1195,Compton,,CA,90221
 Infinity 1 Services,(323) 505-2031,8330 Long Beach Boulevard  Ste 111 # 282,South Gate,CA,
 Next Door Bathroom and Kitchen,(323) 517-8755,Los Angeles,,CA,90001
 Aussie Pie Kitchen,(323) 522-6407,5173 W Sunset Blvd,Los Angeles,CA,
 Xtiosu Kitchen,(323) 526-8844,923 Forest Ave,Los Angeles,CA,
 Brew Kitchen Bar,(323) 530-0218,2328 S Garfield Ave,Monterey Park,CA,
 BRA General Construction,(323) 534-3033,Downey,,CA,90241
 Argueta Construction,(323) 539-1600,Los Angeles,,CA,90063
 Diamant Tile,(323) 548-4694,Los Angeles,,CA,90063
 Bellus Kitchen Design,(323) 556-0767,8350 Wilshire Blvd,Beverly Hills,CA,
 Antogitos Market & Kitchen,(323) 560-3020,5822 Gage Ave,Bell Gardens,CA,
 Classica Home Products,(323) 560-3318,5201 Gage Ave,Bell Gardens,CA,
 Kitchen Cuts,(323) 562-1413,6019 District Blvd,Maywood,CA,
 Four Elements Plumbing,(323) 563-2826,6229 Otis Avenue,Bell,CA,
 Popeyes Louisiana Kitchen,(323) 566-9402,1653 E 103rd St,Los Angeles,CA,
 Built Tough Inc,(323) 569-1975,9636 Atlantic Ave,South Gate,CA,
 Lupita's Cabinet,(323) 581-5070,7817 S Central Ave,Los Angeles,CA,
 Davida Aprons & Logo Programs Inc,(323) 581-7300,4438 Pacific Blvd,Los Angeles,CA,
 Royal Prestige Fast Cookware,(323) 581-8495,2031 E 65th St,Los Angeles,CA,
 K C & Co,(323) 582-7799,2960 Leonis Blvd,Los Angeles,CA,
 Honduras' Kitchen,(323) 582-9139,2409 E Slauson Ave,Huntington Park,CA,
 D E Cabinets and Furniture,(323) 584-5012,1350 E Slauson Ave,Los Angeles,CA,
" Huxtable'S Kitchen, Inc",(323) 584-7880,2100 E 49th St,Vernon,CA,
 Carolyn's Kitchen,(323) 585-1660,853 E Manchester Ave,Los Angeles,CA,
 Heriberto's Kitchen Cabinets,(323) 585-5723,7720 Maie Ave,Los Angeles,CA,
 Luna Chic Inc,(323) 586-0877,2110 E 25th St,Los Angeles,CA,
 Seville Kitchen Cabinets,(323) 587-3185,7904 Seville Ave,Huntington Park,CA,
 Corner Kitchen,(323) 588-0068,6913 Pacific Blvd,Huntington Park,CA,
 K & K Inc,(323) 588-1628,5613 Maywood Ave,Maywood,CA,
 Ariya Thai Kitchen,(323) 589-1245,2560 E Gage Ave,Huntington Park,CA,
 Genius Naturals,(323) 589-9828,2770 Leonis Blvd,Los Angeles,CA,
 BACILIO'S CONSTRUCTION,(323) 592-0020,Downey,,CA,90241
 Bathroom & Kitchen Fixtures,(323) 592-3800,7270 Beverly Blvd,Los Angeles,CA,
 A&J Construction,(323) 599-9474,Los Angeles,,CA,90011
 Arms Development & Design,(323) 602-4505,Bellflower,,CA,90706
 KZ Tile & Stone,(323) 602-7965,Whittier,,CA,90604
 Quality Master Construction,(323) 606-1298,Los Angeles,,CA,90011
 Jedi Investments LLC,(323) 614-0602,1231 West Blvd Suite 202,Los Angeles,CA,
 Cabinets To Go,(323) 622-0840,6550 Telegraph Rd,Commerce,CA,
 Makeda Enterprise,(323) 628-9541,Los Angeles,,CA,90047
 Carlos Plumbing,(323) 630-3022,942 East 65th Street,Inglewood,CA,
 California Construction & Remodeling Experts,(323) 638-7558,9100 Wilshire Boulevard E. Tower Ste. 333,Beverly Hills,CA,
 Sagrado Mezcaleria + Kitchen,(323) 644-0605,3216 Glendale Blvd.,Los Angeles,CA,
 Big 8 Kitchen,(323) 645-7911,5445 Hollywood Blvd,Los Angeles,CA,
 Collectibles And More In-Store,(323) 656-0594,8527 Crescent Drive,Los Angeles,CA,
 Continental Kitchen,(323) 656-7500,8205 Ste Santa Monica Blvd,Los Angeles,CA,
 The Indian Kitchen,(323) 656-9000,8165 Santa Monica Blvd,Los Angeles,CA,
 Kitchen & Bath Remodeling LA,(323) 657-6022,8954 Ellis Avenue #8954,Los Angeles,CA,
 Messhall Kitchen,(323) 660-6377,4500 Los Feliz Blvd,Los Angeles,CA,
 Forma Design Build,(323) 661-0955,2378 Glendale Blvd,Los Angeles,CA,
 The Kitchen Silver Lake,(323) 664-3663,4348 Fountain Ave,Los Angeles,CA,
 Dragonglass Kitchen,(323) 665-5779,3100 Los Feliz Blvd,Los Angeles,CA,
 Flores Artscape,(323) 666-3510,3959 Eagle Rock Blvd,Los Angeles,CA,
 CM National Inc,(323) 666-9661,1959 Ste Blake Ave,Los Angeles,CA,
 Inda Jones The Kitchen,(323) 676-9260,3670 Broadway Pl,Los Angeles,CA,
 Oliver Kitchen Service,(323) 693-9894,14717 Hawthorne Blvd,Lawndale,CA,
 John Bathroom Remodel,(323) 709-8962,13244 Hawthorne Blvd,Hawthorne,CA,
 Viva's Restoration,(323) 715-6759,Huntington Park,,CA,90255
 Hyde Sunset Kitchen + Cocktails,(323) 716-4200,8117 Sunset Boulevard,Los Angeles,CA,
 Cabinet Modern,(323) 718-0007,2463 Whittier Blvd,Los Angeles,CA,
 Flame Gard Inc,(323) 720-5112,6827 E Washington Blvd,Los Angeles,CA,
 Kitchen Collection,(323) 722-3272,100 Ste Citadel Dr,Los Angeles,CA,
 Broaster Kitchen Inc,(323) 722-4190,1440 W Beverly Blvd,Montebello,CA,
 Le Creuset,(323) 725-6336,100 Ste Citadel Dr,Los Angeles,CA,
 HD Supply Repair & Remodel,(323) 727-9785,7601 Telegraph Rd,Montebello,CA,
 Fernando's Custom Kitchen Cabients,(323) 728-6577,500 Washington Blvd,Montebello,CA,
 Tim's Kitchen,(323) 731-0769,3125 W Jefferson Blvd,Los Angeles,CA,
" Roland Products, Inc",(323) 731-1111,3400 W. Olympic Blvd,Los Angeles,CA,
 Jireh Custom Furniture Inc,(323) 733-0021,5112 W Jefferson Blvd,Los Angeles,CA,
 Ac's Kitchen,(323) 733-9000,4768 W Adams Blvd,Los Angeles,CA,
 The Kitchen Warehouse,(323) 734-1696,3716 W Washington Blvd,Los Angeles,CA,
 Republic Master Chefs,(323) 735-1661,1664 W. Washington Blvd.,Los Angeles,CA,
 Caveman Kitchen,(323) 737-3717,"2215 Vermont Ave #101, 102",Los Angeles,CA,
 Lemon Poppy Kitchen,(323) 739-0012,3324 Verdugo Rd,Los Angeles,CA,
 Juans Construction Handyman,(323) 742-9872,Los Angeles,,CA,90007
 Hilltop Coffee + Kitchen - Inglewood,(323) 743-8100,170 North La Brea Avenue,Inglewood,CA,
 Alta Nordic Kitchen,(323) 746-5221,7274 Melrose Ave,Los Angeles,CA,
 Express Cabinet Refacing,(323) 750-2330,1320 W 87th St,Los Angeles,CA,
 Buxton Plastics Inc,(323) 752-6629,1458 W Slauson Ave,Los Angeles,CA,
 Joel Govea,(323) 753-1240,6410 S Broadway,Los Angeles,CA,
 Hostess Cake Kitchen,(323) 753-3521,6007 S St Andrews Pl,Los Angeles,CA,
 The Peoples Kitchen,(323) 754-1502,10013 S Broadway,Los Angeles,CA,
 Lim's Oriental Kitchen,(323) 759-4549,8728 S Western Ave,Los Angeles,CA,
 Fernando's Custom Kitchen Cabinets,(323) 773-3260,5555 Gage Ave,Bell Gardens,CA,
 CrossRoads Kitchen,(323) 782-9245,8284 Melrose Ave,Los Angeles,CA,
 Express Cabinets,(323) 791-8432,Los Angeles,,CA,90003
 Kathy's Kitchen,(323) 814-8208,7701 Crenshaw Blvd,Los Angeles,CA,
 DC Keeton Home Improvements,(323) 828-6843,Los Angeles,,CA,90017
 Rodriguez Remodeling,(323) 830-3235,Los Angeles,,CA,90044
 Andrew Custom Kitchen,(323) 831-7391,9800 S La Cienega Blvd,Inglewood,CA,
 Gibson Oversea Inc,(323) 832-8900,2410 Yates Ave,Los Angeles,CA,
 Gonzalez Painting and Repairs,(323) 833-5284,Los Angeles,,CA,90018
 Rp Jvr International,(323) 835-6689,6325 Ste Pacific Blvd,Huntington Park,CA,
 Kitchen Plus Inc,(323) 837-0025,6051 Telegraph Rd,Los Angeles,CA,
 CB2,(323) 848-7111,8000 Sunset Boulevard,Los Angeles,CA,
 J C Construction,(323) 867-1207,Los Angeles,,CA,90011
 Smart Clean,(323) 868-1549,432 North Vail Avenue,Montebello,CA,
 J Cabinets,(323) 871-1612,5609 W Sunset Blvd,Los Angeles,CA,
 Kitchen Remodeled Premiere,(323) 873-2985,5010 Kelton Ave,Los Angeles,CA,
 Kaya Street Kitchen,(323) 879-9288,109 N Fairfax Ave,Los Angeles,CA,
 American KGP Inc,(323) 888-0008,7142 Condor Street,Commerce,CA,
 Remodelación La Mejor,(323) 901-5175,Cudahy,,CA,90201
 F&AA Remodelaciónes,(323) 901-5175,Cudahy,,CA,90201
 Frank's Handy Works,(323) 903-1088,Whittier,,CA,90602
 Bulan Thai Vegetarian Kitchen,(323) 913-1488,4114 Santa Monica Blvd,Los Angeles,CA,
 Ra C  Remodeling Inc,(323) 915-2120,1751 W Exposition Blvd,Los Angeles,CA,
 Cafe Vida - Kitchen,(323) 922-2391,1842 West Washington BLVD,Los Angeles,CA,
 Huxtables Kitchen Inc,(323) 923-2880,2080 E 49th St,Los Angeles,CA,
 Pacific Construction,(323) 930-1137,1344 S Tremaine Ave,Los Angeles,CA,
 China Kitchen,(323) 931-5013,4511 W Pico Blvd,Los Angeles,CA,
 Mastrad Inc,(323) 932-0697,7461 Ste Beverly Blvd,Los Angeles,CA,
 Maos Kitchen,(323) 932-9681,7315 Melrose Ave,Los Angeles,CA,
 Crepes Plus Kitchen,(323) 933-3403,5223 Wilshire Blvd,Los Angeles,CA,
 Ho Ho Kitchen,(323) 936-6969,5677 W Ste Pico Blvd,Los Angeles,CA,
 Kitchen Sante La Brea Sante,(323) 937-2683,345 N Ste La Brea Ave,Los Angeles,CA,
 Moda Collection,(323) 937-9761,6011 W Pico Blvd,Los Angeles,CA,
 Col Cabinet & Granite,(323) 938-8838,4525 W Pico Blvd,Los Angeles,CA,
 The Sycamore Kitchen,(323) 939-0151,143 S La Brea Ave,Los Angeles,CA,
 Little Kitchen Restaurant,(323) 939-0161,1292 S La Brea Ave,Los Angeles,CA,
 Martin Pierce Custom Decorative Hardware,(323) 939-5929,5433 W. Washington Blvd,Los Angeles,CA,
 D & O Cabinets,(323) 939-9491,6114 Venice Blvd,Los Angeles,CA,
 Hyde Sunset: Kitchen and Cocktails,(323) 940-1650,8117 W Sunset Blvd,Los Angeles,CA,
 Alfred Coffee & Kitchen,(323) 944-0811,8428 Ste Melrose Pl,West Hollywood,CA,
 Jacky's Cleaning Service,(323) 944-7337,Los Angeles,,CA,90031
 Fat Kitchen Remodeler,(323) 948-8400,"554 W 5th, St",Los Angeles,CA,
 Nova Studio,(323) 951-0771,8360 Ste Melrose Ave,West Hollywood,CA,
 SMDM DBA Builders,(323) 952-9455,Los Angeles,,CA,90036
 Linares Olga E,(323) 962-2810,5537 Santa Monica Blvd,Los Angeles,CA,
 A & G Refinishing,(323) 965-0566,2747 S Cochran Ave,Los Angeles,CA,
 Bargain Fair,(323) 965-2227,4635 W Pico Blvd,Los Angeles,CA,
 A A  Construction,(323) 979-2238,Los Angeles,,CA,90015
 Design And Create Builders,(323) 979-2988,7190 West Sunset Boulevard,Los Angeles,CA,
 Deluxe Vanity and Kitchen,(323) 980-9040,4466 Worth St,Los Angeles,CA,
 JOSE SOLIS REMODELING,(323) 984-4603,Los Angeles,,CA,90023
 Henry Kitchen Design,(323) 991-9041,2447 Pacific Coast Hwy,Hermosa Beach,CA,
 Dk Dream Kitchen,(323) 997-7717,2425 Lee Ave,South El Monte,CA,
 Ceballos Construction,(424) 224-8465,Torrance,,CA,90504
 A2Z Kitchen & Bath,(424) 229-1909,8865 W Pico Blvd,Los Angeles,CA,
 My Handyman,(424) 230-3005,8564 West Pico Boulevard,Los Angeles,CA,
 Renovo Stone Countertops,(424) 230-3020,1505 S La Cienega Blvd,Los Angeles,CA,
 Greenleaf Kitchen and Cocktails,(424) 239-8700,1888 Century Park East,Los Angeles,CA,
 Uplifters Kitchen,(424) 268-4904,2819 Ocean Park Boulevard,Santa Monica,CA,
 The Kitchen At Constellation,(424) 278-2057,10250 Constellation Blvd,Los Angeles,CA,
 Ace Handyman Services South Bay,(424) 279-3543,1810 Artesia Blvd,Redondo Beach,CA,
 RH Baby & Child - Closed,(424) 280-7140,1219 Third Street Promenade,Santa Monica,CA,
 RH Modern | The Gallery On Beverly Blvd,(424) 281-1326,8772 Beverly Blvd.,West Hollywood,CA,
 1 Kitchen,(424) 281-1880,8490 Sunset Boulevard,West Hollywood,CA,
 Millbrook Kitchen Inc,(424) 287-7789,15960 Downey Ave,Paramount,CA,
 Alfemo Furniture,(424) 288-4504,1111 S Robertson Blvd,Los Angeles,CA,
 Karubas Yardy Kitchen,(424) 312-1055,1300 Centinela Ave,Inglewood,CA,
 Kitchen & Bath Remodeling Pros,(424) 330-8222,257 N Canon Dr,Beverly Hills,CA,
 Lizama Drywall Group,(424) 332-8683,Los Angeles,,CA,90019
 Italian Kitchen Design,(424) 333-4511,490 S San Vicente Blvd,Los Angeles,CA,
 All Level Installations of Finish Carpentry Inc,(424) 336-6364,5757 West Century Boulevard Suite: 700,Los Angeles,CA,
 Balam Mexican Kitchen,(424) 338-6762,11700 Long Beach Blvd,Lynwood,CA,
 Kitchen United MIX,(424) 352-3070,21712 Hawthorne Blvd,Torrance,CA,
